Farm Name,County,Date Founded,Special Recognition
3 M Farm,Sumner,1919,
4 M Acres Farm,Cheatham,1849,
4F Clover Pioneer Farm,Washington,1783,Pioneer Century Farm
A.B. Rowe Farm,Claiborne,1870,
A.K. Davis Farm,Meigs,1874,
A.K. Waterman Farm,Sullivan,1872,
Acworth Farm,Robertson,1870,
Adams Farm,Haywood,1895,
Adams Farms,Henry,1914,
Adams Farms,Warren,1816,
Aden Farm,Carroll,1894,
Agency Creek Acres Farm,Meigs,1829,
Akard-Smalling Farm,Sullivan,1832,
Alban Hills,Greene,1822,
Albert Lloyd Keller Farm,Hardeman,1870,
Albert Nixon Farm,Smith,1912,
Albright Farms,Obion,1903,
Alderson Home Stead Farm,Maury,1873,
Alexander Farm,Loudon,1811,
Alexander Farm,Madison,1893,
Alexander Springs,Lawrence,1853,
Alford Family Farm,Roane,1899,
Alford Farm,Wilson,1816,
Allen Dairy Farm,Smith,1891,
Allen Family Farm,Moore,1904,
Allen Farm,Marshall,1833,
Allen Farm at Totten Wells,Obion,1820,
Allen Hill Farm,Unicoi,1861,
Allen-Rhodes Farm,Perry,1867,
Allendale,Montgomery,1796,Pioneer Century Farm
Allendale Farm,Smith,1864,
Allenland,Jefferson,1852,
Allison Farm,Smith,1892,
Allison Farm,Washington,1800,
Allison Farms,Humphreys,1836,
Alta Vista,Haywood,1850,
Alvin Smith Farm,Gibson,1827,
Amokolee Farm,Robertson,1899,
Ancestral Farm and Home Place of Joseph and Sarah Robinson,Marshall,1837,
Anderson Farm,Montgomery,1819,
Anderson Farm,Weakley,1866,
Anderson Farm,Greene,1794,Pioneer Century Farm
Anderson Farm,Dyer,1865,
Anderson Farms,Overton,1918,
Anderson Grain Farm,Hardeman,1916,
Angela / Coley Farm,Sumner,1870,
Anna Brown Farm,Sumner,1815,
Archer Farm,Washington,1854,
Archibald Qualls Farm,Overton,1840,
Archie Hatcher Farm,Sevier,1793,Pioneer Century Farm
Armistead-Shoulders Farm,Smith,1920,
Armour Farm,Fayette,1836,
Arnold Farm,Hawkins,1887,
Arnold Farm,Smith,1867,
Arnott Farm,Hawkins,1855,
Artell Bell Farm,Weakley,1866,
Ashburn Farm,Marion,1824,
Ashby Farm,Lincoln,1819,
Ashcrest Farm,Sumner,1810,NR
Ashe-Bates Farm,Wilson,1910,
Ashley Farm,Meigs,1848,
Atkinson Farm,Franklin,1868,
Aunt Loreen Place,Williamson,1887,
Aurelia Acres,Williamson,1810,
Austin Farm,Hamblen,1839,
Austin Farm,Dyer,1910,
Austin Farm,Lauderdale,1880,
Aydelott Farm,Hickman,1896,
Ayeden Acres,Rutherford,1858,
Ayers/Starbuck Farm,Perry,1834,
Ayres Farm,Robertson,1908,
Ayres Farm,Greene,1815,
B & G Farm,Sullivan,1880,
B. A. T. Angus Farm,Cumberland,1898,
B. W. Burgess Farm,Giles,1845,
B. Williams Farm,Greene,1866,
B.D. Wooten Farm,Smith,1870,
B.J. Newman Farm,Giles,1870,
Back In Time Farm,McMinn,1879,
Bacon Farm,Washington,1891,
Bacon Farms,Roane,1915,
Bag End Farm,Williamson,1848,
Bailey Brothers Farm,Greene,1788,Pioneer Century Farm
Bailey Farm,Greene,1788,Pioneer Century Farm
Baird Farm,Wilson,1801,
Baker Farm,Hamblen,1906,
Baker Farm,Smith,1891,
Baker Farms,Hickman,1899,
Baker Place Farm,Greene,1857,
Baker-Arnold Farm,Gibson,1869,
Baker-Young Farm,Dyer,1894,
Baker's Burden Farm,Dickson,1818,
Baldwin Farm,Blount,1886,
Bales Farms,Greene,1882,
Ball Farm,Crockett,1845,
Ballard Farm,Hamblen,1804,
Balthrop-Potter Farm,Dickson,1816,
Banks Farm,Cannon,1890,
Barbee Farm,Sumner,1918,
Barely Do Farm,Montgomery,1923,Woman Founder
Barker Family Farm,Knox,1919,
Barker's Hillview Farm,Williamson,1891,
Barnes Acres Farm,Lincoln,1834,
Barret Farm,Shelby,1850,
Basil Myers Farm,Greene,1897,Woman Founder
Baskette Farm,Greene,1836,
Bass-Bethel Farms,Giles,1886,
Bateman Farm,Houston,1915,
Bateman-Sullivan Farm,Houston,1841,
Bates Farm,Jefferson,1854,
Bates Farm,Wilson,1867,
Batey Farm,Rutherford,1807,
Baxter Farm,Cocke,1875,
Bayless Farm,Lincoln,1901,
Bazle and Bertha White Farm,Clay,1917,
Beal Farms,Hawkins,1780,Pioneer Century Farm
Beard's Triple H Farm,Houston,1851,
Beasley Farm,Smith,1870,
Beason Acres,Claiborne,1855,
Beaty Farm,Madison,1850,
Beaver-Castellaw Farms,Crockett,1907,
Beckman Farm,Coffee,1857,
Bedford Wiseman Farm,Moore,1904,
Beech Bend Farm,Montgomery,1809,
Beech Grove Farm,Washington,1778,Pioneer Century Farm
Beech Hill,Wilson,1830,
Beech Hill,Williamson,1796,NR Pioneer Century Farm
Beech Valley Farm,Hickman,1866,
Beechwood Farm,Lewis,1839,
Beene Farms,Chester,1898,
Bejach Farm,Fayette,1840,
Belcher Farm,Trousdale,1913,
Bell Farm,Jefferson,1816,
Bell Farms,Dyer,1877,
Bellwood,Hamblen,1869,
Bellwood Farm,Wilson,1895,
Bend of the Creek Farm,Grainger,1812,
Bend of the River Farm,Bradley,1890,
Benderman Farm,Maury,1911,
Bennett Farm,Carroll,1822,
Bennett Place,Rutherford,1819,
Bentley Farm,Wilson,1886,
Bentley Farm,Sumner,1906,
Berry Farm,Benton,1901,
Berry Place Farm,Wilson,1823,
Bert Lee Jennings Farm,Lincoln,1819,
Best Farm,Blount,1809,
Beuerlein Farm,Lawrence,1872,
BG Farm,Smith,1892,
Bible Farm,Cocke,1887,
Big Dry Farm,Fentress,1876,
Big Elm Farm,Greene,1856,
Big Maple Dairy,Grainger,1868,
Big Orange Country Farm,Marshall,1813,
Big Sand Spring,Hamblen,1850,
Big Springs Farm #2,McMinn,1819 c.,
Big Valley Farm,Union,1874,
Bill Russell Farm,Claiborne,1898,
Billingsby Farm,Weakley,1840,
Billingsley Farm,Jackson,1865,
Bingham Thorne Farm,Wilson,1921,
Bird Farm,Loudon,1827,
Bird Haven,Greene,1833,
Black Bill Baird Place,Campbell,1873,
Black Farm,Giles,1846,
Blackburn Farm,Jefferson,1900,
Blackmon-Parrish Farm,Madison,1849,
Blackwell Farm Greensward,Rutherford,1917,
Blair Farm,Warren,1924,
Blair Farm,McMinn,1870,
Blair Farm,Macon,1870,
Bledsoe Farm,Dickson,1906,
Bledsoe-Sullivan Farm,Williamson,1906,
Bloodworth Homeplace,Wilson,1880,
Blue Grass Farm,Williamson,1825,
Blue Lake Ranch,Wilson,1891,
Blue Rock Shoals Farm,Hickman,1854,
Blue Springs Farm,Coffee,1918,
Bluffview Spring Farm,McMinn,1888,
Board Farms,Obion,1900,
Bob Curlin Farm,Haywood,1880,
Bob Gore Farm,Overton,1870,
Bobo Acres,Wilson,1869,
Bolton Farm,Greene,1888,
Bomar Farmstead,Henry,1854,
Bond Farm,Williamson,1870,
Bond Farm,Madison,1827,
Bone Hollow Farms,Wilson,1923,
Booker Farm in Tater Valley,Union,1902,
Booth Farm,Haywood,1894,
Booth Settlement,Washington,1903,
Boswell Farm,Fayette,1876,
Boulton Farm,Gibson,1915,
Bourne Brothers Farm,Montgomery,1883,
Bowen/Creech-Moody Farm,Grainger,1900,
Bowers Valley Farm,Greene,1909,
Bowles Farm,Henry,1902,
Bowling Family Farm,Anderson,1924,
Bowman Farms,Blount,1911,
Boyd Acres Farms,McNairy,1922,
Boyd Farm,Polk,1838,
Boyd Jerseys Farm,Putnam,1852,
Brabson Ferry Plantation,Sevier,1794,Pioneer Century Farm
Bradley Farm,Sumner,1795,Pioneer Century Farm
Brady Farm,Cumberland,1854,
Brady Farm,Rhea,1906,Woman Founder
Bragg Brothers Farm,Shelby,1836 c.,
Bragg Farm,Weakley,1849,
Brakebill Farm,Monroe,1895,
Brandon Farm,Carroll,1913,
Brandon Farm,Dyer,1917,
Branum Farm,Union,1875,
Breeding Family Farm,Sullivan,1882,
Breezy Heights Farm,Hawkins,1791,Pioneer Century Farm
Breezy Hill Farm,Washington,1888,
Breezy Knoll Farm,Franklin,1892,
Brewer Farm,Sumner,1850,
Brewer Farm,Lawrence,1922,
Briar Lane Farm,Marshall,1914,
Brice Moffatt Farm,Tipton,1881,
Brickey Farm,Blount,1808,
Bridgewater Farm,Smith,1906,
Bright Farm,Obion,1867,
Brinkley Ellis Farm,Benton,1907,
Broadview Farm,Obion,1837,
Brock Farm,Weakley,1852,
Brooks Farm,Hawkins,1823,
Brooks Farm,Claiborne,1829,
Brookside Farm,Washington,1793,Pioneer Century Farm
Brookside Farm,Monroe,1859,
Brothers-Clift Farm,Dyer,1857,
Brown Dairy Farm,Coffee,1865,
Brown Farm,Jackson,1896,
Brown Farm,White,1905,
Brown-Jones Farm,Crockett,1913,
Brown's Fork Farm,Robertson,1829,
Browning Farm,Robertson,1867,
Bruce Farm,Jefferson,1891,
Brumit Farm,Washington,1819,
Bryan Farm,Giles,1913,
Bryant Reese Farm,Sequatchie,1828,
BSA Farm,Bedford,1914,
Buchanan Bottom Farm,Obion,1887,
Buchanan Farm,Dickson,1909,
Buckner Farm,Franklin,1919,
Bud Ballinger Farm,Jefferson,1795,Pioneer Century Farm r
Bud's Longview Farm,Williamson,1900,
Buffalo Trail Orchard,Greene,1890,
Buis Ridge Farm,Claiborne,1897,
Burgner Farm,Greene,1900,
Burks Farm,Dyer,1901,
Burks/Plunk Farm,McNairy,1900,
Burnett Farm,Obion,1897,
Burnett/White Family Farm,Grundy,1888,
Burns Farm,Giles,1899,
Burns-Helton Farm,Blount,1852,
Burns-McKinnon Farm,Chester,1880,
Burrow-Gregory Farm,Macon,1836,
Burt Farm,Moore,1875,
Burton Farm,Wilson,1847,
Burton Farm,Lincoln,1900,
Busler Farm,Grainger,1917,
Bussell Farms,Smith,1917,
Butler Farm,Rutherford,1880,African American
Butler Farm,Giles,1890,
Butner Farms,Crockett,1905,
C. C. James Farm,Crockett,1833,
C. J. C. Farm,Benton,1904,
C. W. Gillespie Farms,Lawrence,1919,
Caff-E-Hill Farms,Rutherford,1859,NR
Cain Farm,Haywood,1900,
Caldwell Farm,Obion,1886,
Caldwell Farm,Obion,1858,
Caldwell-Farms Elkhorn,Henry,1895,
Callahan Farm,Blount,1820,
Callis Farm,Obion,1917,
Calvert Farms,Robertson,1856,
Campbell Acres Farm,Hawkins,1782,Pioneer Century Farm
Campbell Farm,Carter,1910,
